match_id,season_id,date_match,home_team_id,away_team_id,points_home,points_away,goal_diff_home,goal_diff_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,possession_home,possession_away,shots_on_target_home,shots_on_target_away,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_avg_goal_diff_home,h2h_avg_goals_home_scored,h2h_avg_goals_away_scored,result
4312,6,2023-09-30,2,27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,1.2,1.2,away_win
4313,6,2023-09-30,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.6,1.8,1.2,home_win
4314,6,2023-09-30,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5,1.0,1.5,away_win
4316,6,2023-09-30,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2,0.8,0.6,away_win
4317,6,2023-09-30,17,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-0.2,1.0,1.2,home_win
4320,6,2023-09-30,25,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.0,1.6,0.6,home_win
4318,6,2023-10-01,19,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.2,1.4,1.6,draw
4315,6,2023-10-02,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-0.6,0.6,1.2,away_win
4266,6,2023-10-03,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5,1.0,1.5,away_win
4326,6,2023-10-07,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.8,1.6,0.8,home_win
4325,6,2023-10-07,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2,0.8,0.6,draw
4327,6,2023-10-07,9,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.75,2.0,1.25,home_win
4328,6,2023-10-07,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,1.0,away_win
4329,6,2023-10-07,16,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.6,1.8,1.2,home_win
4324,6,2023-10-07,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1.4,0.8,2.2,away_win
4323,6,2023-10-08,4,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.6,1.8,1.2,draw
4331,6,2023-10-08,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.2,1.6,0.4,draw
4330,6,2023-10-08,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-0.4,1.2,1.6,draw
4322,6,2023-10-08,27,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1.0,1.6,0.6,home_win
4332,6,2023-10-21,2,26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-0.8,0.8,1.6,away_win
4340,6,2023-10-21,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.4,2.2,1.8,away_win
4338,6,2023-10-21,17,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2.2,2.4,0.2,home_win
4339,6,2023-10-21,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.5,1.5,draw
4334,6,2023-10-21,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.6,2.0,0.4,home_win
4335,6,2023-10-21,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.2,1.8,0.6,draw
4336,6,2023-10-21,13,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.0,1.4,0.4,home_win
4337,6,2023-10-21,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.4,1.2,1.6,home_win
4333,6,2023-10-22,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.4,1.4,1.0,home_win
4341,6,2023-10-23,22,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.4,1.6,0.2,home_win
4347,6,2023-10-27,7,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,1.0,1.0,away_win
4346,6,2023-10-28,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,-0.2,0.8,1.0,away_win
4342,6,2023-10-28,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.2,1.0,0.8,home_win
